                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.0714,                0.55893,                0.96015,                 1.2717,                0.66843,                0.96011,                0.92439,                0.81377,                0.91844,                0.49379,                 1.5904,                0.66914,                 1.2037,                 1.6606,                0.75274,                 1.1568,             0.00047876,             0.00047876,             0.00047876
                     75,                 1.0699,                0.55624,                0.94966,                 1.2905,                0.67762,                0.95461,                0.90398,                0.84932,                0.92187,                0.50344,                 1.5694,                0.67013,                 1.1845,                 1.6429,                0.74231,                 1.1599,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.0961,                0.56062,                0.95689,                 1.2673,                0.67356,                0.95957,                0.88678,                0.86988,                0.92665,                0.49174,                 1.5933,                0.65225,                 1.1977,                 1.6505,                 0.7641,                 1.1749,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.0503,                0.55247,                0.94318,                 1.2867,                0.66792,                0.95352,                0.94928,                0.86353,                0.92976,                0.50315,                 1.5817,                0.66027,                 1.2027,                 1.6634,                0.70272,                 1.1744,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.0381,                0.54264,                0.95209,                 1.2131,                0.64584,                0.95321,                0.92084,                 0.8286,                0.93137,                0.50152,                 1.5893,                 0.6356,                 1.2042,                 1.6527,                0.73393,                 1.1761,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.0637,                0.55145,                0.93898,                 1.2659,                0.65209,                0.94471,                0.94689,                0.79094,                0.92138,                0.48727,                 1.6208,                0.64411,                 1.2234,                 1.6742,                0.75592,                 1.2006,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.0048,                0.52704,                0.93474,                 1.1896,                0.62202,                0.93851,                0.95265,                 0.8328,                0.92957,                0.50486,                 1.5967,                0.63274,                 1.2104,                 1.6668,                0.72185,                 1.1895,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.0629,                0.55495,                0.94721,                  1.262,                  0.658,                0.95261,                0.91231,                 0.8559,                0.92632,                 0.4965,                 1.5962,                0.63532,                 1.2109,                 1.6781,                0.70905,                 1.1749,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.0525,                 0.5521,                 0.9457,                 1.2637,                 0.6721,                0.95401,                0.85712,                0.86126,                0.92158,                0.50212,                 1.5755,                0.61087,                 1.2005,                 1.6541,                0.73125,                 1.1797,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.0033,                0.51371,                 0.9293,                  1.197,                0.61584,                0.93728,                0.85039,                0.87758,                0.91761,                0.48829,                 1.5933,                0.62924,                 1.2129,                 1.6691,                0.75378,                 1.1892,             0.00033023,             0.00033023,             0.00033023
                     84,                0.99501,                0.50881,                0.93049,                  1.155,                0.59389,                0.93933,                0.91917,                0.83336,                0.92539,                0.50322,                 1.5962,                0.63716,                 1.2093,                 1.6743,                0.72645,                 1.2016,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.0214,                0.52585,                0.94105,                 1.2236,                0.63599,                0.94284,                0.91569,                0.85701,                0.93056,                0.50005,                  1.617,                0.62973,                 1.2252,                 1.6784,                0.71429,                 1.2242,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.0071,                0.51603,                0.92105,                 1.2178,                0.62751,                0.93051,                0.92012,                0.84899,                0.92734,                0.50399,                 1.5812,                0.62359,                 1.2035,                 1.6574,                0.68446,                 1.1985,             0.00028072,             0.00028072,             0.00028072
                     87,                0.98664,                0.51691,                0.92176,                 1.2091,                0.62559,                0.92651,                 0.9175,                0.83873,                0.92133,                0.50062,                 1.5849,                0.62272,                 1.2075,                 1.6581,                0.72846,                 1.2076,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.0333,                0.53557,                0.93476,                  1.253,                0.63996,                0.94168,                0.89358,                0.85726,                0.91742,                 0.5044,                 1.5733,                0.61975,                 1.1995,                 1.6414,                 0.7297,                 1.1913,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.0047,                0.51871,                0.93471,                   1.22,                0.62573,                 0.9444,                0.89678,                0.84178,                0.92668,                0.50507,                 1.5976,                0.61444,                 1.2173,                 1.6586,                0.70778,                 1.2069,             0.00023121,             0.00023121,             0.00023121
                     90,                0.97945,                0.50934,                0.94118,                 1.1674,                0.61014,                0.95213,                0.90786,                0.83177,                0.92621,                0.50171,                 1.5723,                0.60395,                 1.2036,                 1.6351,                 0.6967,                 1.1899,             0.00021471,             0.00021471,             0.00021471
                     91,                0.97412,                0.48583,                0.92695,                 1.1353,                0.56493,                0.92774,                0.92164,                0.81225,                0.92427,                0.49112,                 1.5889,                0.60733,                 1.2111,                 1.6679,                0.71277,                 1.1882,             0.00019821,             0.00019821,             0.00019821
                     92,                0.98539,                0.48595,                0.91853,                   1.14,                0.54512,                0.91885,                0.87637,                 0.8555,                0.91861,                 0.4917,                 1.5998,                0.61805,                 1.2165,                 1.6694,                0.74522,                 1.1936,              0.0001817,              0.0001817,              0.0001817
                     93,                0.96292,                0.47255,                0.92409,                 1.1303,                0.53519,                0.92754,                0.93137,                0.82932,                0.92465,                0.51347,                 1.5705,                0.61084,                 1.1965,                 1.6422,                0.72334,                 1.1695,              0.0001652,              0.0001652,              0.0001652
                     94,                0.97545,                0.47436,                0.93179,                 1.1374,                0.53853,                  0.933,                0.90254,                0.83582,                 0.9266,                0.51074,                 1.5793,                0.60486,                 1.2048,                 1.6577,                0.72004,                 1.1783,              0.0001487,              0.0001487,              0.0001487
                     95,                0.94346,                0.47176,                0.91654,                 1.1249,                0.54867,                0.91823,                0.95765,                0.81726,                0.92727,                0.50989,                 1.5828,                0.59765,                 1.2056,                 1.6523,                0.70933,                 1.1848,             0.00013219,             0.00013219,             0.00013219
                     96,                0.95084,                0.46651,                0.91183,                 1.1123,                0.53733,                0.91811,                0.92404,                0.81609,                0.92701,                0.50794,                 1.5732,                0.60024,                 1.1984,                 1.6449,                0.69861,                 1.1727,             0.00011569,             0.00011569,             0.00011569
                     97,                0.94957,                0.47378,                0.90697,                 1.1183,                0.54837,                0.91232,                0.90522,                0.82041,                0.92611,                0.50817,                 1.5928,                0.61139,                 1.2092,                 1.6545,                0.71684,                 1.1828,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.95082,                0.47125,                0.91045,                 1.1205,                0.53885,                0.91675,                0.91585,                0.81304,                0.92363,                0.50405,                 1.6015,                0.61941,                 1.2133,                 1.6683,                0.71902,                 1.1848,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.95677,                0.46753,                0.90995,                 1.1425,                 0.5439,                0.91828,                0.89189,                0.82649,                0.92101,                0.50134,                 1.5894,                0.61545,                 1.2044,                 1.6548,                0.72086,                 1.1774,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.94639,                0.46501,                0.91444,                 1.0935,                0.52101,                0.91491,                0.92189,                0.80236,                0.92146,                0.50547,                 1.5872,                0.61165,                 1.2019,                 1.6465,                0.71693,                 1.1799,             4.9677e-05,             4.9677e-05,             4.9677e-05
